piso 0
#s:1|Reception|The hotel receptionist is quite charming, always smiling and         greeting people. There's a lift that goes to all five floors,        and a door that leads to the cafeteria.|Reception|12|-1|1|-1|0|0|1|0|      ___0___                    [****]|     !   !   !              /O\|     !   !   !            __/Y\_____|_____!   !   !___________/_________/_____|     !___!___!           [________]/|
#s:2|Cafeteria|Bloody hell! This cafeteria is always busy! There's the bartender,   and a couple of elegant men wearing a suit. They drink Boticolas,    which seems to be the only beverage they serve here. Shall we order  some steamed hams for lunch? They only cost 3 Bitcoins!|Cafeteria|1|-1|-1|-1|0|0|1|0|         D      O|      __/T\____/T\__        _____ o|_____/  /o     /o  /_______/    /_!______|    /_____________/       /____//_/|    !            !        !    !  !   |
#s:14|Lift (Ground Floor) |The background music in this lift is remarkably relaxing.|lift|-1|-1|12|-1|15|-1|1|0|                           Balcony: 4[ ]|                          Cleaning: 3[ ]|                            Suites: 2[ ]|                             Rooms: 1[ ]|                         Hall/Cafe: 0[x]|

Piso 1
#s:3|Corridor (First Floor)|There's a door to either side, and a couple more over there...       A white card hangs by door 102: "Do not disturb"|Corridor|13|3|2|5|0|0|1|0
#s:4|Corridor (First Floor)|There's a door to either side, and a couple more over there...       A white card hangs by door 104: "Do not disturb"|Corridor|2|7|4|8|0|0|1|0
#s:5|Room 101 |This is my room. Nothing too fancy, but it will be enough to sleep   comfortably. The window looks out on the back side of the hotel. |My room|4|-1|-1|3|0|0||1|0|     .        ___             _________|    /_\      /   )________   (/___!___\)|   __!__    /__ /        /!   !___!___!|___!  l!___(___)________/ !______________|   !___!    !___!_!_!_!_!/   \x/     |
#s:6|Room 102 |Oh... This room is occupied. I guess I shouldn't have got in here.|Room 2|-1|5|-1|-1|0|0|1|1|     .        _ERROR:DEV_FOUND_________|    /_\      /   )________   (/___!___\)|   __!__    /__ /        /!   !___!___!|___!  l!___(___)________/ !______________|   !___!    !___!_!_!_!_!/   \x/     |
#s:7|Room 103 |The door was left wide open, but it seems this room belongs to       someone else. There's a top-hat over there. This client must be      a true gentleman.|Room 3|6|-1|-1|7|0|0|1|1|     .        ___             _________|    /_\      /   )________   (/___!___\)|   __!__    /__ /        /!   !___!___!|___!  l!___(___)________/ !______________|   !___!    !___!_!_!_!_!/   \x/     |
#s:8|Room 104 |Oh... This room is occupied. I guess I shouldn't have got in here.|Room 4|-1|8|-1|-1|0|0|1|1|     .        _ERROR:DEV_FOUND_________|    /_\      /   )________   (/___!___\)|   __!__    /__ /        /!   !___!___!|___!  l!___(___)________/ !______________|   !___!    !___!_!_!_!_!/   \x/     |
#s:9|Bathroom |This is my bathroom. It looks clean and tidy.|Tu baño|-1|-1|4|-1|0|0|1|0| | |         _|        [_] |        (o)|
#s:10|Bathroom|This is another client's bathroom. |baño habitacion 2|-1|-1|6|-1|0|0|1|0| | |         _|        [_] |        (o)|
#s:15|Lift (First Floor) |The background music in this lift is remarkably relaxing.|lift|-1|-1|13|-1|16|15|1|0|                           Balcony: 4[ ]|                          Cleaning: 3[ ]|                            Suites: 2[ ]|                             Rooms: 1[x]|                         Hall/Cafe: 0[ ]|

Piso 2
#s:16|Lift (Second Floor) |The background music in this lift is remarkably relaxing.|lift|-1|-1|19|-1|17|16|1|0|                           Balcony: 4[ ]|                          Cleaning: 3[ ]|                            Suites: 2[x]|                             Rooms: 1[ ]|                         Hall/Cafe: 0[ ]|
#s:19|Corridor (Second Floor)|There are two doors, one to either side. I think they lead to the   best rooms, the suites! They must be very expensive...|Corridor|19|20|-1|21|-1|-1|1|0
#s:20|Room 201 (Suite 1)|Oh... This room is occupied. I guess I shouldn't have got in here.|Suite 1|-1|-1|-1|20|-1|-1|1|1|     .  ERROR:DEV_FOUND        _______|    /_\   !____  ____!         !__*__!|   __!__  {____}{____}        !__*__!!|___!  l!__%%%%%%%%%%%%_________!__*__!___|   !___! %%%%%%%%%%%%%%  \x/   !/   \!|
#s:21|Room 202 (Suite 2)|Let's have a look around. This room is huge, quite opposite to the   ones in Floor 1. The only thing that seems to be the same is that    little minibar.|Suite 2|-1|21|-1|-1|-1|-1|1|1|     .    !__________!         _______|    /_\   !____  ____!         !__*__!|   __!__  {____}{____}        !__*__!!|___!  l!__%%%%%%%%%%%%_________!__*__!___|   !___! %%%%%%%%%%%%%%  \x/   !/   \!|

Piso 3
#s:11|Cleaning Room|This must be the cleaning room. There are towels and bottles all over the place... Why would there be Boticolas in this room? Maybe they use it for storage.|Cleaning_Room|22|9|-1|-1|0|0|0|0|                                 _____|     !   \          /   ___     !  !  !|     !    \        /   (===)    ! .!. !|     !     \   ___/_  (===)     !  !  !|___xxxxx__xxxx_!___!___(===)____!__!__!__|
#s:12|Mysterious room (?)|There's a hidden room behind the wardrobe! Narnia comes to mind!     Let's see... There are a lot of computers in this room. I think      we're onto something.|?|-1|-1|-1|9|0|0|1|0|   ____   _      ____   _      ____   _  |  [(__)] !=!    [(__)] !=!    [(__)] !=! |____!!___!_!______!!___!_!______!!___!_!_|__/mmm/__/______/mmm/__/______/mmm/__/___|________!_____________!______________!___|
#s:17|Lift (Third Floor) |The background music in this lift is remarkably relaxing.|lift|-1|-1|22|-1|18|17|1|0|                           Balcony: 4[ ]|                          Cleaning: 3[x]|                            Suites: 2[ ]|                             Rooms: 1[ ]|                         Hall/Cafe: 0[ ]|

Piso 4
#s:22|Balcony (P4)|It's very quiet and peaceful up here. That door leads to             Mr. Comstock's office. I bet he really enjoys the views.|Balcony|14|10|-1|-1|0|0|1|0|    _       _                          !\|   (X)     (X)                         ! |i_(XXX)_i__(X)_i___i___i___i___i___i___!.|!__(X)__!__(X)_!___!___!___!___!___!___! |   \_/     \_/                          \|
#s:23|Mr. Comstock's Office|This is Zackary James Comstock's office. He seems to be a man of      culture as well. He seems busy now, maybe I can come back later|Office|-1|-1|11|10|0|0|1|0|                ____              ___|               !    !   .---.    !___!|    _O_      _ !   '!___!   !____!_._!|___/(_)\____! !!    !__/!   !\___!   !___|    / \     !_!!____!  `\___/'   !___!| |
#s:24|Comstock's mini-cricket|Mr. Comstock has invited me to play cricket, but I can't get         distracted from my duty! Maybe I'll find something useful here...|Well, that's enough cricket for the day, let's head back downstairs.|11|-1|-1|-1|0|0|1|0||                                   !>1>>|     O   _                         !|   /(_)-!                          !|    / \ !                          !|^^^^^^^^^^`^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^|
